week,source,visits,leads
2026-05-04,Яндекс Директ,1032,41
2026-05-11,Яндекс Директ,1118,48
2026-05-18,Яндекс Директ,1032,43
2026-05-25,Яндекс Директ,1118,46
2026-05-04,Авито,360,22
2026-05-11,Авито,390,26
2026-05-18,Авито,360,23
2026-05-25,Авито,390,25
2026-05-04,SEO-органика,384,18
2026-05-11,SEO-органика,416,21
2026-05-18,SEO-органика,384,19
2026-05-25,SEO-органика,416,20
2026-05-04,Реклама ВК,192,13
2026-05-11,Реклама ВК,208,16
2026-05-18,Реклама ВК,192,14
2026-05-25,Реклама ВК,208,15
