№,Правила,,Этапы,Продажи,Цель,Срок в этапе (включительно),Условия выхода из этапа,"Условия, при которых сделки остаются (""Если еще"")",Запрещено,Обязательные поля,Задачи (с момента перехода),Отв-ный задачи,Срок создания и завершения,Тип,,Сделка,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Доп. поля сделки,Тип,Группа,Обязателен на этапе,Отв-ный,Источник,Способ связи,Тип клиента,Адрес магазина,Цель покупки,Отв-ный консультант,Отложка,Перемещение из,Способ получения,Ассортимент,Компетентность конс. / менедж.,Вовлеченность и отзывчивость,Причины провала
1,"На каждом этапе направлять свой фокус только на выполнении цели этапа. 
Если цель выполнена, обязательно переводить на следующий этап",,Новая заявка,Оффлайн / Онлайн,Выявить тип клиента и потребность,До 15 минут в рабочее время,Выявили тип клиента и потребность,Не было первого касания,- Закрывать сделку без касания на данном этапе,,"1. Связаться с клиентом
2. Поменять этап",Менеджер,Сразу - До 15 минут,Новая заявка,,Отв-ный,Список,,Новая заявка,Менеджер,Сарафан,Телефон,Оффлайн,Пятницкая,Свадьба,Арсен,Бесплатная,Центральный,СДЭК,1,1,1,Ателье
2,"Не допускать выход сделки из сроков этапа. 
Сделка потеряна, если не следить за сроками и не дожимать",,Взято в работу,Оффлайн / Онлайн,Обработать потребность | Согласовать встречу или доставку,До 1 дня,Согласовали встречу или доставку / Дали обещание / Выявили возражение,Не обработана потребность,"- Оставлять сделку на этапе, если клиент готов придти в магазин",,"1. Обработать потребность, зафиксировать тип клиента
2. Согласовать встречу или доставку
3. Поменять этап",Менеджер,Сразу - До 1 дня,Квалификация,,Бюджет,Число,,Встреча назначена,Михаил ,Яндекс Карты,WhatsApp,Онлайн,Бауманская,Повседневно,Зена,Платная,Пятницкая,Яндекс Доставка,2,2,2,Не целевой
3,"Выстраивать работу только через задачи в сделке, не просрочивая сроки в задаче",,Дано обещание,Оффлайн / Онлайн,Выполнить обещание | Согласовать встречу или доставку,До 3 дней,Согласовали встречу или доставку | Выявили возражение,Обещание не выполнено / Не согласована встреча или доставка,- Не фиксировать обещания через задачу,,"1. Выполнить обещание
2. Согласовать встречу или доставку
3. Поменять этап",Менеджер,Сразу - До 3 дней,Обещание,,Переход на след. этап до,Дата со временем,,Новая заявка,,Сайт (органика),Telegram,Предложение,Онлайн,Не определена,Илья,,Бауманская,Магазин,3,3,3,Не было размера
4,Писать комментарий к выполнению каждой задачи. ,,Хочет прийти,Оффлайн,Назначить точную дату встречи,До 5 дней,Назначили точную дату встречи,"Хочет придти, но не знает точной даты",,,"1. Назначить точную дату встречи
2. Поменять этап",Менеджер,Сразу - До 5 дней,Встреча,,Источник,Список,Квалификация,Ждет товар,,Instagram Директ,Instagram,Жалоба,,,Михаил,,,,4,4,4,Нет в ассортименте
,,,Хочет заказать,Онлайн,Оформить накладную | Передать на сборку,До 7 дней,Оформили доставку | Передали на сборку,Доставка не оформлена и не передана в магазин,,,"1. Согласовать адрес пункта выдачи
2. Оформить доставку
3. Поменять этап",Менеджер,Сразу - До 7 дня,Доставка,,,,,,,,,,,,,,,,,,,Много перешивать
5,"Запрещено удалять задачи и редактировать дату их выполнения.
Завершать задачу только с комментарием, поставив новую",,Ждет товар,Оффлайн / Онлайн,Переместить отсутствующий товар в магазин,До 4 дней,Переместили товар в магазин,Товар не перемещен в магазин,,"- Тип клиента
- Перемещение из
- Адрес магазина
- Состав заказа
- Когда хочет придти
- Дата ожидания товара","1. Переместить товар в магазин
2. Поменять этап",Снабженец,Сразу - До 4 дней,Встреча,,Способ связи,Список,Квалификация,Взято в работу,,Instagram Комментарий,VK,,,,,,,,5,5,5,
6,"Задачи, поля и этапы сделки корректировать сразу по факту, а не откладывать на попозже",,Товар в магазине,Оффлайн / Онлайн,Отложить товар консультанту,До конца дня,Консультант отложил товар,"Товар поступил в магазин, но не отложен консультантом",,,"1. Отложить товар
2. Поменять этап",Консультант,Сразу - До 1 дня,Перемещение,,Тип клиента,Список,Квалификация,Ждет товар,,Яндекс Директ,Авито,,,,,,,,6,6,6,Не устроило качество
7,,,Товар отложен,Оффлайн / Онлайн,Удержать товар для клиента в отложке | Назначить встречу (платно или бесплатно),До конца следующего дня / При платной брони - до 21 дня,Вышел срок отложки у товара,Отложка без депозита - до конца след. дня. Если с депозитом - до 2 недель,,,"1. Выяснить: отложить ли товар до 2 недель с помощью аванса
2. Поменять дату поля Резерв до, по необходимости
3. Назначить точную дату встречи или отправки",Менеджер,Сразу - До конца дня,Отложка,,Цель покупки,Список,Квалификация,Успех,,ВК Директ,Без предв. касания,,,,,,,,7,7,7,Не нравится крой
8,,,Встреча назначена,Оффлайн,Довести клиента до магазина,До 14 дней,Клиент пришёл в магазин,"Встреча назначена, но еще не пришел в магазин",,,"1. Выяснить: приехал ли клиент на встречу
2. Назначить дату встречи повторно, если не приехал",Менеджер,На след. день после Дата встречи - До конца дня,Встреча,,Состав заказа,Текстовое поле,Товары,Встреча назначена,,ВК Комментарий,Max,,,,,,,,8,8,8,Не вышел на связь
