,,,,,,,,,,,,,
,2026 ГОД,,,,,,,,,,,,
,Месяц,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь
,Декабрь ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,Январь 2026,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,Февраль 2026,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,Март 2026,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,Апрель 2026,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,Май 2026,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,Июнь 2026,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,Июль 2026,0,0,0,0,0,0,0,0,0,0,0,0
,Август 2026,0,0,0,0,0,0,0,0,0,0,0,0
,Сентябрь 2026,0,0,0,0,0,0,0,0,0,0,0,0
,Октябрь 2026,0,0,0,0,0,0,0,0,0,0,0,0
,Ноябрь 2026,0,0,0,0,0,0,0,0,0,0,0,0
,Декабрь 2026,0,0,0,0,0,0,0,0,0,0,0,0
,Итого,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
