,,,,,,,,,,,,,,,,,,
,,,,,,,Общая сумма счетов,Общая сумма оплат счетов,Остаток,,,,,,,,,
,,,,,,,473250,473250,0,,,,,,,,,
,№ п/п,Компания,Бренд,№ счета,Дата счета,Количество конструкций,Сумма счета,Оплата,Ссылка,Вид документооборота,№ договора,№ приложения,Статус подписания приложения,Статус подписания УПД,,,,
,1.0,СТОЛИЦЫНО ООО СЗ,ЖК точно,909.0,2025-11-26 00:00:00,1.0,95000,TRUE,АП ЖК Точно,ЭДО (контур),Договор №559 от 27.10.2025,,TRUE,TRUE,,#N/A,декабрь,#REF!
,2.0,Серёгин Иван Игоревич,Seregin dental team,920.0,2025-11-10 00:00:00,2.0,103950,TRUE,АП клиента Серегин дентал,ЭДО(контур),Договор №507 от 14 июля 2025 г.,,TRUE,TRUE,,#N/A,декабрь,#REF!
,3.0,ЮМК ООО,Гутендорф,924.0,2025-11-10 00:00:00,3.0,129000,TRUE,АП клиента Гутендорф,ЭДО(контур),Договор №556 от 6 октября 2025 г.,,TRUE,TRUE,,#N/A,декабрь,#REF!
,4.0,АДДК ООО,Старочеркасская Ривьера,925.0,2025-11-10 00:00:00,2.0,101000,TRUE,АП АДДК,Оригиналы,Договор №504-СРЗ от 01.07.2025,,TRUE,TRUE,,#N/A,декабрь,#REF!
,5.0,Сидякин Михаил Игоревич,Золотой рацион,969.0,2025-11-17 00:00:00,печать листовок,11300,TRUE,,ЭДО,Договор №557 от 07.10.2025,,TRUE,TRUE,,#N/A,,#REF!
,6.0,Кох Владислав Владимирович,Снаряга юг,984.0,2025-11-25 00:00:00,1.0,33000,TRUE,,ЭДО ,Договор №567 от 25.11.2025,,TRUE,TRUE,,#N/A,декабрь-январь-февраль,#REF!
,7.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
,8.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
,9.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
,10.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
,11.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
,12.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
,13.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
,14.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
,15.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
,16.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
,17.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
,18.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
,19.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
,20.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
,21.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
,22.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
,23.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
,24.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
,25.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
,26.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
,27.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
,28.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
,29.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
,30.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
,31.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
,32.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
,33.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
,34.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
,35.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
,36.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
,37.0, Введите номер счета,Введите номер счета,,#N/A,,0,#N/A,Введите номер счета,Введите номер счета,#N/A,,FALSE,FALSE,,#N/A,#N/A,#REF!
