,,,,,,
,,,,,Июль,
,Юр. лицо,Категория клиента,,Категория,Количество конструкций        ,% от общего количества конструкций
,ООО Автосеть Дон,Авто,,Авто,5,0.1111111111
,Гагарина,Авто,,Айфоны,1,0.02222222222
,Формула фр,Авто,,Глазная клиника,10,0.2222222222
,ООО Автоцентр на Гагарина,Авто,,Застройщик,2,0.04444444444
,Айстудио,Айфоны,,Медицина,0,0
,ИП Симонян,Айфоны,,Одежда,0,0
,ООО Генезис,Глазная клиника,,Продукты,4,0.08888888889
,ООО ЛДЦ Сокол,Глазная клиника,,Ремонт,1,0.02222222222
,ООО Оптикс-Альянс,Глазная клиника,,"Спорт, красота и отдых",2,0.04444444444
,ООО Статус,Глазная клиника,,С/Х,1,0.02222222222
,ООО Леге Артис,Глазная клиника,,Стоматология,13,0.2888888889
,СЗ Доннефтестрой Девелопмент,Застройщик,,Юристы,0,0
,СЗ Зенит-Девелопмент,Застройщик,,Политика,6,0.1333333333
,ООО АДДК,Застройщик,,Прочее,0,0
,ООО Неометрия,Застройщик,,Итого:,45,1
,ООО СЗ Альянс Групп,Застройщик,,,,
,ООО СЗ Альянс Инвест,Застройщик,,,,
,ООО СЗ Ростов-Сити,Застройщик,,,,
,ООО СЗ РСК,Застройщик,,,,
,ООО СЗ Столицыно,Застройщик,,,,
,СЗ Донюг,Застройщик,,,,
,СК10 КП3,Застройщик,,,,
,СК10 КП5,Застройщик,,,,
,СК10 №9,Застройщик,,,,
,СК10 №15,Застройщик,,,,
,СЗ Югстройинвест,Застройщик,,,,
,СЗ Доннефтестрой-Аксай,Застройщик,,,,
,ООО Инвитро,Медицина,,,,
,ООО МедцентрК,Медицина,,,,
,ООО Новомед,Медицина,,,,
,ИП Кох,Одежда,,,,
,ООО Мартин ,Продукты,,,,
,ООО ЮМК,Продукты,,,,
,ООО Золотая Плата,Прочее,,,,
,ИП Корсунский,Прочее,,,,
,Велопривоз,Прочее,,,,
,ИП Сазонов,Ремонт,,,,
,ИП Щуклинов,Ремонт,,,,
,ООО Дилар,Ремонт,,,,
,ООО Мир ремонта,Ремонт,,,,
,ООО Сердце города,Ремонт,,,,
,ИП Бондарь,Ремонт,,,,
,ООО Ветерра-Рус,С/Х,,,,
,ИП Ханджиян А.А ,"Спорт, красота и отдых",,,,
,ИП Вильденберг,"Спорт, красота и отдых",,,,
,ИП Киблицкий,"Спорт, красота и отдых",,,,
,ИП Храмова ,"Спорт, красота и отдых",,,,
,ООО Детство,"Спорт, красота и отдых",,,,
,ИП Бутенко,"Спорт, красота и отдых",,,,
,ООО Знак плюс,"Спорт, красота и отдых",,,,
,ООО Астродент Форте,Стоматология,,,,
,ИП Серегин,Стоматология,,,,
,ООО Ника,Стоматология,,,,
,ООО 32 Друга ,Стоматология,,,,
,ООО Алекса,Стоматология,,,,
,ООО Стомски,Стоматология,,,,
,ООО Лейб Медик,Стоматология,,,,
,ООО Эверест,Стоматология,,,,
,ИП Сыромятников,Юристы,,,,
,ООО Эксперт-Стандарт,Юристы,,,,
,ООО Ремедио,Стоматология,,,,
,Справедливая Россия,Политика,,,,
,ООО Дентал Линк,Стоматология,,,,
,ООО Стоматология ВАН,Стоматология,,,,
,ООО Глоу Дентал,Стоматология,,,,
,ИП Атикян,Одежда,,,,
,ООО Оптима,"Спорт, красота и отдых",,,,
,ИП Селиверстов,Прочее,,,,
,ИП Титова,Прочее,,,,
,Одиссея,"Спорт, красота и отдых",,,,
,ООО Городок,Стоматология,,,,
,ООО ФормулаА,Авто,,,,
,ООО Телерадиокомпания,Одежда,,,,
,ООО Санрайз,Авто,,,,
,ООО Академия ТОП,Обучение,,,,
,ООО СЗ Альянс Центр,Застройщик,,,,
,ООО Грифон,Прочее,,,,
,ООО Юг-Строй,Застройщик,,,,
,ООО СЦИП Дента Лэнд,Стоматология,,,,
,ООО Спектр Линз,Глазная клиника,,,,
,ООО Стоматология Коломакиных,Стоматология,,,,
,ООО Сити Крик,"Спорт, красота и отдых",,,,
,ИП Полушкин,Одежда,,,,
