article,group,excluded,name_now,name_after,analytics_now,analytics_after,folder
3DMASK,A,,3D маска для ночного сна,3D маска для ночного сна (Беруши в подарок),,3D маска для ночного сна,Аксессуары
3DMASK,A,да,3D маска для ночного сна,3D маска для ночного сна,,,Товары интернет-магазинов/Заказ с сайта (ИМ)
BODOFLY,A,,Массажёр для ног Bodo Fly,Массажер для ног Bodo Fly,,Массажёр для ног Bodo Fly,Прочее
D18H00,A,,Мат Детензор 18% Жёсткость 0 (полный комплект),Устройство медицинское DETENSOR для пассивной разгрузки позвоночника в лежачем положении с силой вытяжения 18% от массы тела. Жесткость 0,,Мат Детензор 18% Жёсткость 0 (полный комплект),Мат Детензор 18%
D18H01,A,,Мат Детензор 18% Жёсткость 1 (полный комплект),Устройство медицинское DETENSOR для пассивной разгрузки позвоночника в лежачем положении с силой вытяжения 18% от массы тела. Жесткость 1,,Мат Детензор 18% Жёсткость 1 (полный комплект),Мат Детензор 18%
D18H02,A,,Мат Детензор 18% Жёсткость 2 (полный комплект),Устройство медицинское DETENSOR для пассивной разгрузки позвоночника в лежачем положении с силой вытяжения 18% от массы тела. Жесткость 2,,Мат Детензор 18% Жёсткость 2 (полный комплект),Мат Детензор 18%
D18H02P,A,,Мат Детензор 18% Жёсткость 2+ (полный комплект),Устройство медицинское DETENSOR для пассивной разгрузки позвоночника в лежачем положении с силой вытяжения 18% от массы тела. Жесткость 2 ПЛЮС,,Мат Детензор 18% Жёсткость 2+ (полный комплект),Мат Детензор 18%
D18H03,A,,Мат Детензор 18% Жёсткость 3 (полный комплект),Устройство медицинское DETENSOR для пассивной разгрузки позвоночника в лежачем положении с силой вытяжения 18% от массы тела.Жесткость 3,,Мат Детензор 18% Жёсткость 3 (полный комплект),Мат Детензор 18%
DH.GLASSES,A,,Очки-перископы для чтения лёжа Детензор-EYE,"Очки-перископы для чтения лежа ""Детензор-EYE""",,Очки-перископы для чтения лёжа Детензор-EYE,Аксессуары
DH.GLASSES-L,A,,Очки-перископы для чтения лёжа Детензор-EYE Light,"Очки-перископы для чтения лежа ""Детензор-EYE"" light",,Очки-перископы для чтения лёжа Детензор-EYE Light,Аксессуары
DRKBL,A,,Подушка для спины Детензор Чёрная,Устройство медицинское DETENSOR для пассивной разгрузки позвоночника в сидячем положении (тип 2). Черная,,Подушка для спины Детензор Чёрная,Подушка для спины
