Группы	UUID	Тип	Код	Наименование	Внешний код	Артикул	Доп. поле: Артикул
export	f08cfbae-df1b-11ef-0a80-0bc001334530	Товар	00-00000646	3D маска для ночного сна (Беруши в подарок)		3D маска для ночного сна	3DMASK
export	6b834703-beb2-11ee-0a80-13bb003ff608	Товар	00197	Массажер для ног Bodo Fly		Массажёр для ног Bodo Fly	BODOFLY
export	5883b7bc-8857-11ee-0a80-13da001dc2dc	Товар	00170	Устройство медицинское DETENSOR для пассивной разгрузки позвоночника в лежачем положении с силой вытяжения 18% от массы тела. Жесткость 0		Мат Детензор 18% Жёсткость 0 (полный комплект)	D18H00
export	588ad9f5-8857-11ee-0a80-13da001dc2e2	Товар	00154	Устройство медицинское DETENSOR для пассивной разгрузки позвоночника в лежачем положении с силой вытяжения 18% от массы тела. Жесткость 1		Мат Детензор 18% Жёсткость 1 (полный комплект)	D18H01
export	58928d4e-8857-11ee-0a80-13da001dc2e8	Товар	00043	Устройство медицинское DETENSOR для пассивной разгрузки позвоночника в лежачем положении с силой вытяжения 18% от массы тела. Жесткость 2		Мат Детензор 18% Жёсткость 2 (полный комплект)	D18H02
export	589b6797-8857-11ee-0a80-13da001dc2f5	Товар	00114	Устройство медицинское DETENSOR для пассивной разгрузки позвоночника в лежачем положении с силой вытяжения 18% от массы тела. Жесткость 2 ПЛЮС		Мат Детензор 18% Жёсткость 2+ (полный комплект)	D18H02P
export	58a3823b-8857-11ee-0a80-13da001dc301	Товар	00063	Устройство медицинское DETENSOR для пассивной разгрузки позвоночника в лежачем положении с силой вытяжения 18% от массы тела.Жесткость 3		Мат Детензор 18% Жёсткость 3 (полный комплект)	D18H03
export	7d40ba8d-b47a-11ee-0a80-14eb001beeb0	Товар	00193	Очки-перископы для чтения лежа "Детензор-EYE"		Очки-перископы для чтения лёжа Детензор-EYE	DH.GLASSES
export	c3f13a6b-50b6-11ef-0a80-01e700244468	Товар	00-00000608	Очки-перископы для чтения лежа "Детензор-EYE" light		Очки-перископы для чтения лёжа Детензор-EYE Light	DH.GLASSES-L
export	594497f7-8857-11ee-0a80-13da001dc3b2	Товар	00133	Устройство медицинское DETENSOR для пассивной разгрузки позвоночника в сидячем положении (тип 2). Черная		Подушка для спины Детензор Чёрная	DRKBL
export	59596dca-8857-11ee-0a80-13da001dc3c4	Товар	00039	Устройство медицинское DETENSOR для пассивной разгрузки позвоночника в сидячем положении (тип 2). Коричневая		Подушка для спины Детензор Коричневая	DRKBR
export	59529a2a-8857-11ee-0a80-13da001dc3be	Товар	00057	Устройство медицинское DETENSOR для пассивной разгрузки позвоночника в сидячем положении (тип 2).Золотая		Подушка для спины Детензор Золотая	DRKGO
export	594c893e-8857-11ee-0a80-13da001dc3b8	Товар	00034	Устройство медицинское DETENSOR для пассивной разгрузки позвоночника в сидячем положении (тип 2). Серая		Подушка для спины Детензор Серая	DRKGR
export	83df0213-b888-11ef-0a80-155f0049fba5	Товар	00-00000639	Устройство медицинское DETENSOR для пассивной разгрузки позвоночника в сидячем положении (тип 2). Бордовая		Подушка для спины Детензор Бордовая	DRKRE
export	596056a5-8857-11ee-0a80-13da001dc3ca	Товар	00084	Устройство медицинское DETENSOR для пассивной разгрузки позвоночника в сидячем положении (тип 2). Ваниль		Подушка для спины Детензор Ванильная	DRKWH
export	591dda2e-8857-11ee-0a80-13da001dc386	Товар	00116	Устройство медицинское DETENSOR для пассивной разгрузки позвоночника в сидячем положении (тип 1). Черная		Подушка для сидения Детензор Чёрная	DSKBL
export	5933f6fe-8857-11ee-0a80-13da001dc39e	Товар	00038	Устройство медицинское DETENSOR для пассивной разгрузки позвоночника в сидячем положении (тип 1) Коричневая		Подушка для сидения Детензор Коричневая	DSKBR
export	592e0bfd-8857-11ee-0a80-13da001dc392	Товар	00080	Устройство медицинское DETENSOR для пассивной разгрузки позвоночника в сидячем положении (тип 1) Золотая		Подушка для сидения Детензор Золотая	DSKGO
export	5924736a-8857-11ee-0a80-13da001dc38c	Товар	00120	Устройство медицинское DETENSOR для пассивной разгрузки позвоночника в сидячем положении (тип 1). Серая		Подушка для сидения Детензор Серая	DSKGR
export	1c1778d0-b894-11ef-0a80-037b008d8d4b	Товар	00-00000640	Устройство медицинское DETENSOR для пассивной разгрузки позвоночника в сидячем положении (тип 1). Бордовая		Подушка для сидения Детензор Бордовая	DSKRE
export	593bfbd5-8857-11ee-0a80-13da001dc3a4	Товар	00014	Устройство медицинское DETENSOR для пассивной разгрузки позвоночника в сидячем положении (тип 1). Ваниль		Подушка для сидения Детензор Ванильная	DSKWH
export	59a88288-8857-11ee-0a80-13da001dc421	Товар	00040	Устройство медицинское DETENSOR для пассивной разгрузки позвоночника в лежачем положении с силой вытяжения 5% от массы тела. Тип 2. Размер 100*200*9, Жесткость 2		Матрас Fibrotop Classic 100×200×9 Жёсткость 2	FBCL100
export	5991b3d1-8857-11ee-0a80-13da001dc402	Товар	00151	Устройство медицинское DETENSOR для пассивной разгрузки позвоночника в лежачем положении с силой вытяжения 5% от массы тела. Тип 2. Размер 100*200*9, Жесткость 1		Матрас Fibrotop Classic 100×200×9 Жёсткость 1	FBCL100-1
export	59a0935d-8857-11ee-0a80-13da001dc41b	Товар	00058	Устройство медицинское DETENSOR для пассивной разгрузки позвоночника в лежачем положении с силой вытяжения 5% от массы тела. Тип 2. Размер 100*200*9, Жесткость 3		Матрас Fibrotop Classic 100×200×9 Жёсткость 3	FBCL100-3
