section,№,Название,Этап,Строка в новой,Строка в копии,Примечание
replace,1,Приветствие и вопрос,Взято в работу,3,3,текст не совпадает с финалом
replace,2,Приветствие и налич,Взято в работу,4,4,текст не совпадает с финалом
replace,3,Размер и наличие,Взято в работу,5,5,текст не совпадает с финалом
replace,4,Когда будут,Взято в работу,6,6,текст не совпадает с финалом
replace,6,Формат работы,Взято в работу,8,9,текст не совпадает с финалом
replace,7,Парковка,Взято в работу,9,10,текст не совпадает с финалом
replace,9,Дышит ли костюм,Взято в работу,11,12,текст не совпадает с финалом
replace,10,Индивидуальный пошив,Взято в работу,12,13,текст не совпадает с финалом
replace,11,Отшить размер,Взято в работу,13,14,текст не совпадает с финалом
replace,12,Новокузнецкая,Взято в работу,14,15,текст не совпадает с финалом
replace,13,Бауманская,Взято в работу,15,16,текст не совпадает с финалом
replace,14,Условия аренды,Взято в работу,16,17,текст не совпадает с финалом
replace,15,Условия сертификата,Взято в работу,17,18,текст не совпадает с финалом
replace,16,Номинал сертификата,Взято в работу,18,19,текст не совпадает с финалом
replace,17,График работы,Взято в работу,19,20,текст не совпадает с финалом
replace,18,Электронный сертификат,Взято в работу,20,21,текст не совпадает с финалом
replace,19,Номер сертификата,Сертификат продан,21,22,текст не совпадает с финалом
replace,20,Условия доставки,Взято в работу / Хочет заказать,22,23,текст не совпадает с финалом
replace,21,Точный размер - 1,Взято в работу,23,24,текст не совпадает с финалом
replace,22,Ваш размер - Есть наличие,Взято в работу,24,25,текст не совпадает с финалом
replace,23,Ваш размер - Нет наличия,Взято в работу,25,26,текст не совпадает с финалом
replace,24,Точный размер - 2,Взято в работу,26,27,текст не совпадает с финалом
replace,26,Отправили заказ,Заказ отправлен,28,29,в копии помечено как Не актуально
replace,27,Ателье,Любой,29,31,текст не совпадает с финалом
replace,28,Был - Купил,Встреча назначена,30,32,текст не совпадает с финалом
replace,29,Был - Не подошло,Встреча назначена,31,35,текст не совпадает с финалом
replace,30,Не был,Встреча назначена,32,37,текст не совпадает с финалом
replace,31,,Хочет прийти,33,38,текст не совпадает с финалом
replace,32,,Хочет заказать,34,39,текст не совпадает с финалом
replace,33,,Товар в магазине,,41,текст не совпадает с финалом
replace,34,,Товар отложен,,42,текст не совпадает с финалом
replace,35,,Встреча назначена,37,43,текст не совпадает с финалом
replace,36,,Встреча назначена,38,44,текст не совпадает с финалом
replace,37,,Встреча назначена,39,46,текст не совпадает с финалом
replace,38,,Аренда оплачена,40,47,текст не совпадает с финалом
replace,39,,Аренда оплачена,41,48,текст не совпадает с финалом
replace,40,День возврата - Новокузнецкая,В аренде,42,49,текст не совпадает с финалом
replace,41,День возврата - Бауманская,В аренде,43,50,текст не совпадает с финалом
replace,42,Сертификат истекает через 1 месяц,Сертификат продан,44,51,в копии есть вариант для Новокузнецкой и Бауманской
replace,43,Сертификат истекает через 2 недели,Сертификат продан,45,52,в копии есть вариант для Новокузнецкой и Бауманской
replace,44,Сертификат истекает через 1 месяц,Сертификат продан,46,53,"в копии есть второй вариант, с адресом обоих магазинов"
replace,45,Сертификат истекает через 2 недели,Сертификат продан,47,54,"в копии есть второй вариант, с адресом обоих магазинов"
replace,46,Трек-номер,Отправлен,48,55,текст не совпадает с финалом
replace,47,Посылка прибыла,Доставлен,49,56,текст не совпадает с финалом
replace,48,Не рабочее время,,50,57,текст не совпадает с финалом
replace,49,Программа лояльности,,51,58,текст не совпадает с финалом
replace,50,Отзыв,,52,59,текст не совпадает с финалом
new_only,25,Инфо для доставки,Хочет заказать,27,,"в копии этот шаблон есть, но с другим этапом"
copy_only,,Модель есть в налчии,Взято в работу,7,,лишняя строка без номера
copy_only,25,Инфо для доставки,Взято в работу,28,,в новой у этой строки этап другой
copy_only,,Отложка,Любой,30,,отсутствует в новой
copy_only,,ОС понравилось,Успех,33,,отсутствует в новой
copy_only,,ОС учтем пожелания,Успех / Провал,34,,отсутствует в новой
copy_only,,Был и купил у других,Ушел смотреть у конкурентов / Провал,36,,отсутствует в новой
copy_only,,,,40,,пустая строка
copy_only,,,,45,,пустая строка
copy_only,,Заявка на сайте,,60,,отсутствует в новой
copy_only,51,,Новая заявка,61,,"отдельный кейс по телефону, требует ручной проверки"
copy_only,52,,хочет прийти/встреча назначена когда на первое автоматическое сообщение нам не ответили,62,,отсутствует в новой
copy_only,53,,новая заявка с страницы спасибо,63,,отсутствует в новой
manual_check,51,По телефону,Квалификация,,,"в новой это одна запись, в копии ключ размечен как Новая заявка"
manual_check,42-45,Сертификаты,Сертификат продан,,,в копии есть расширенная версия с двумя адресами; часть строк помечена Не актуально
manual_check,26,Отправили заказ,Заказ отправлен,,,в копии прямо помечено как Не актуально
