txt_article,txt_barcode,txt_name,ms_id,ms_article,ms_name,ms_barcode,match_method,action,reason
103,OZN2062192717,"Пистолет для полива на шланг, садовый с распылителем / 8 режимов / 1/2",48586feb-6744-11f1-0a80-10fa006956d5,103,"Пистолет для полива на шланг, садовый с распылителем / 8 режимов / 1/2",OZN2062192717,by_article,SKIP_ALREADY_OK,
104,2051395644582,Щетка УШМ 65мм латунная (желтая),49d8cb0a-6744-11f1-0a80-082c006999f3,104,Щетка УШМ 65мм латунная (желтая),2051395644582,by_article,SKIP_ALREADY_OK,
105,2051430184097,Щетка УШМ 65мм стальная,4bcf5b20-6744-11f1-0a80-10fa006956f3,105,Щетка УШМ 65мм стальная,2051430184097,by_article,SKIP_ALREADY_OK,
106,2051191380806,Миксер строительный насадка для шуруповерта / дрели 80х400 Для перемешивания смесей и красок,4e44b594-6744-11f1-0a80-1efd00690c44,106,Миксер строительный насадка для шуруповерта / дрели 80х400 Для перемешивания смесей и красок,2051191380806,by_article,SKIP_ALREADY_OK,
107,OZN2062385952,"Штуцерный адаптер 1/2 латунный с переходником, быстросъемный",512f67f3-6744-11f1-0a80-1f270068cea6,107,"Штуцерный адаптер 1/2 латунный с переходником, быстросъемный",OZN2062385952,by_article,SKIP_ALREADY_OK,
108,OZN2062608890,"Колодка для удлинителя каучуковая 3 розетки / 16А / уличная, силовая с заземлением",35efbec4-6748-11f1-0a80-10fa0069fa4b,108,"Колодка для удлинителя каучуковая 3 розетки / 16А / уличная, силовая с заземлением",OZN2062608890,by_article,SKIP_ALREADY_OK,
109,OZN2062456292,Коннектор для шланга 3/4 быстросъемный 3шт. Прорезиненный,41b3ed48-6748-11f1-0a80-16d90068c6b2,109,Коннектор для шланга 3/4 быстросъемный 3шт. Прорезиненный,OZN2062456292,by_article,SKIP_ALREADY_OK,
110,OZN2062493643,Коннектор для шланга 1/2 быстросъемный 3шт. Прорезиненный,43aa228d-6748-11f1-0a80-10fa0069fbeb,110,Коннектор для шланга 1/2 быстросъемный 3шт. Прорезиненный,OZN2062493643,by_article,SKIP_ALREADY_OK,
111,OZN2062511755,Муфта для шланга 1/2 соединительная 3 шт. Прорезиненная,4f53659c-6748-11f1-0a80-0725006961d4,111,Муфта для шланга 1/2 соединительная 3 шт. Прорезиненная,OZN2062511755,by_article,SKIP_ALREADY_OK,
112,2051431413127,Вилка каучуковая,53a93d7e-6748-11f1-0a80-1efd0069c2f1,112,Вилка каучуковая,2051431413127,by_article,SKIP_ALREADY_OK,
113,OZN2269139400,Замша для автомобиля 43х32см City'Up ULTRA,55f6cb61-6748-11f1-0a80-07250069625f,113,Замша для автомобиля 43х32см City'Up ULTRA,OZN2269139400,by_article,SKIP_ALREADY_OK,
114,2051190790224,Коса складная ручная для травы и кустарников 40см,57fe9b60-6748-11f1-0a80-0bcf006b74b2,114,Коса складная ручная для травы и кустарников 40см,2051190790224,by_article,SKIP_ALREADY_OK,
115,OZN2269067864,Губка шлифовальная,63075eeb-6748-11f1-0a80-01b50069a8d9,115,Губка шлифовальная,OZN2269067864,by_article,SKIP_ALREADY_OK,
116,2051431684510,"Миксер строительный, насадка для перфоратора 80х400 Для перемешивания смесей и красок",70559fcb-6748-11f1-0a80-072500696507,116,"Миксер строительный, насадка для перфоратора 80х400 Для перемешивания смесей и красок",2051431684510,by_article,SKIP_ALREADY_OK,
117,OZN2383313903,Замша автомобильная большая,7268ccc3-6748-11f1-0a80-1d57006a015b,117,Замша автомобильная большая,,by_article,ADD_BARCODE,
118,2051431839309,"Удлинитель для валиков телескопический 1,5М",7439d6e0-6748-11f1-0a80-1934006a34d0,118,Удлинитель для валиков телескопический,2051431839309,by_article,SKIP_ALREADY_OK,
120,OZN2383691405,Диск лепесковый торцевой P100,31c41765-6746-11f1-0a80-10fa00699686,120,Диск лепесковый торцевой P100,,by_article,ADD_BARCODE,
121,OZN2383505447,Диск лепесковый торцевой P80,47b1a0ef-6746-11f1-0a80-1123006a3125,121,Диск лепесковый торцевой P80,,by_article,ADD_BARCODE,
122,OZN2383585739,Диск лепесковый торцевой P60,4a6726b1-6746-11f1-0a80-10fa0069981e,122,Диск лепесковый торцевой P60,,by_article,ADD_BARCODE,
123,OZN2383565033,Диск лепесковый торцевой P40,60c4339f-6746-11f1-0a80-16d900685191,123,Диск лепесковый торцевой P40,,by_article,ADD_BARCODE,
119,2051432010554,Ключ для болгарки,76f02cb3-6748-11f1-0a80-1f27006965c6,119,Ключ для болгарки,2051432010554,by_article,SKIP_ALREADY_OK,
124,2051396787431,Набор перьев по дереву,798b7809-6748-11f1-0a80-1934006a350b,124,Набор перьев по дереву,2051396787431,by_article,SKIP_ALREADY_OK,
126,OZN2383798161,Респиратор,7bd40ddc-6748-11f1-0a80-01b50069b7e6,126,Респиратор,,by_article,ADD_BARCODE,
125,OZN2383699211,Краги желтые,93e8d0b6-6748-11f1-0a80-10fa006a09ce,125,Краги желтые,,by_article,ADD_BARCODE,
208,2051242479480,"Колодка для удлинителя каучуковая 3 розетки / 16А / уличная, силовая с заземлением",95f75ae0-6748-11f1-0a80-01b50069bcb4,208,"Колодка для удлинителя каучуковая 3 розетки / 16А / уличная, силовая с заземлением",2051242479480,by_article,SKIP_ALREADY_OK,
127,OZN2490560228,"Набор губок шлифовальных 5 шт, зернистость 60,120(2шт), 150, 220",98451cd6-6748-11f1-0a80-10fa006a0a15,127,"Набор губок шлифовальных 5 шт, зернистость 60,120(2шт), 150, 220",,by_article,ADD_BARCODE,
128,OZN2532329441,Краги красные,9aad0ef3-6748-11f1-0a80-05c60069c03a,128,Краги красные,,by_article,ADD_BARCODE,
129,OZN2583450272,Колодка 4 гнезда,9ddb8d87-6748-11f1-0a80-01b50069be5e,129,Колодка 4 гнезда,,by_article,ADD_BARCODE,
130,OZN2583451443,Замок 45 мм короткий,a0b7dea2-6748-11f1-0a80-05c60069c6b2,130,Замок 45 мм короткий,,by_article,ADD_BARCODE,
131,OZN2583451953,Замок 55 мм короткий,a3902bbd-6748-11f1-0a80-1934006a431d,131,Замок 55 мм короткий,,by_article,ADD_BARCODE,
132,OZN2583453479,Замок 55 мм длинный,a58f78dc-6748-11f1-0a80-1d57006a092f,132,Замок 55 мм длинный,,by_article,ADD_BARCODE,
134,2051242291365,Масса 500Вт,b11c1311-6748-11f1-0a80-1934006a47c4,134,Масса 500Вт,2051242291365,by_article,SKIP_ALREADY_OK,
135,OZN2583464068,Редуктор газовый,b483f950-6748-11f1-0a80-05c60069c9ae,135,Редуктор газовый,,by_article,ADD_BARCODE,
225,2051188758120,"Краги сварщика, летние, кожанные / перчатки для сварки, спилковые",b7a693a4-6748-11f1-0a80-1efd0069cf8a,225,"Краги сварщика, летние, кожанные / перчатки для сварки, спилковые",2051188758120,by_article,SKIP_ALREADY_OK,
136,OZN2704994165,Краги коричневые,d6d47c2e-6748-11f1-0a80-082c006a48c8,136,Краги коричневые,,by_article,ADD_BARCODE,
137,2051190829535,"Замок навесной, уличный 45 мм, всепогодный, удлиненный, для дверей / калитки / ворот",d8b641e8-6748-11f1-0a80-1123006ab1da,137,"Замок навесной, уличный 45 мм, всепогодный, удлиненный, для дверей / калитки / ворот",2051190829535,by_article,SKIP_ALREADY_OK,
139,2051978082954,Сетка образивная Р120,db1b8977-6748-11f1-0a80-05c60069cca3,139,Сетка образивная Р120,2051978082954,by_article,SKIP_ALREADY_OK,
138,2051978205650,Сетка образивная Р220ММРМРМО,e7fb9520-6748-11f1-0a80-1934006a4acf,138,Сетка образивная Р220ММРМРМО,2051978205650,by_article,SKIP_ALREADY_OK,
140,2051190619006,Жилет тонкий желтый,f310628c-6748-11f1-0a80-05c60069cf09,140,Жилет тонкий желтый,2051190619006,by_article,SKIP_ALREADY_OK,
141,2051190726421,Жилет тонкий оранжевый,ff0b7a8f-6748-11f1-0a80-0bcf006b879f,141,Жилет тонкий оранжевый,2051190726421,by_article,SKIP_ALREADY_OK,
