Наименование,Артикул,Штрихкод,Вес (кг),Описание,Магазин,Тип_короба,Кол-во_в_коробе,Кол-во_в_комплекте
"Пистолет для полива на шланг, садовый с распылителем / 8 режимов / 1/2",103,OZN2062192717,0.3,Просто в пакет,РУСбренд,L,100,1
Щетка УШМ 65мм латунная (желтая),104,OZN2062276159,0.26,"Проверяйте хотя бы одну из короба, у этих щеток много видов, например не латунные а черные металлические, поэтому хотя бы одну нужно открыть и чекнуть",РУСбренд,M,40,2
Щетка УШМ 65мм стальная,105,OZN2062296981,0.23,"Проверяйте хотя бы одну из короба, у этих щеток много видов, например не латунные а черные металлические, поэтому хотя бы одну нужно открыть и чекнуть",РУСбренд,L,80,2
Миксер строительный насадка для шуруповерта / дрели 80х400 Для перемешивания смесей и красок,106,OZN2062359845,0.3,"Иногда бывают гнутые, что бы легче понять, перед упаковкой нужно выставить их на пол, там где стоит явно криво, нужно выгнуть руками",РУСбренд,L,85,1
"Штуцерный адаптер 1/2 латунный с переходником, быстросъемный",107,OZN2062385952,0.075,Закидывайте в каждую коробку штук 20,РУСбренд,S,500,1
"Колодка для удлинителя каучуковая 3 розетки / 16А / уличная, силовая с заземлением",108,OZN2062608890,0.175,"Без пакетов, только наклеить шк на уже существующую упаковку",РУСбренд,L,100,1
Коннектор для шланга 3/4 быстросъемный 3шт. Прорезиненный,109,OZN2062456292,0.652,Просто в пакет,РУСбренд,M,80,3
Коннектор для шланга 1/2 быстросъемный 3шт. Прорезиненный,110,OZN2062493643,0.05,Просто в пакет,РУСбренд,M,80,3
Муфта для шланга 1/2 соединительная 3 шт. Прорезиненная,111,OZN2062511755,0.04,Просто в пакет,РУСбренд,M,80,3
Вилка каучуковая,112,OZN2274819678,0.1,Просто в пакет,РУСбренд,L,190,2
Замша для автомобиля 43х32см City'Up ULTRA,113,OZN2269139400,0.08,"Часто бывают повреждены желтые кейсы, их отбраковываем.",РУСбренд,L,50,2
Коса складная ручная для травы и кустарников 40см,114,OZN2208639040,0.3,Просто в пакет,РУСбренд,M,80,1
Губка шлифовальная,115,OZN2269067864,0.15,Просто в пакет,РУСбренд,L,86,3
"Миксер строительный, насадка для перфоратора 80х400 Для перемешивания смесей и красок",116,OZN2293936937,0.333,Просто в пакет,РУСбренд,L,85,1
Замша автомобильная большая,117,,0.165,Просто в пакет,РУСбренд,L,60,1
Удлинитель для валиков телескопический,118,,0.26,"Заматать в стрейч пленку, сверху этикетку",РУСбренд,L,Нет данных,
Диск лепесковый торцевой P100,120,,0.2,Просто в пакет,РУСбренд,M,40,5
Диск лепесковый торцевой P80,121,,0.25,Просто в пакет,РУСбренд,M,40,5
Диск лепесковый торцевой P60,122,,0.25,Просто в пакет,РУСбренд,M,40,5
Диск лепесковый торцевой P40,123,,0.25,Просто в пакет,РУСбренд,M,40,5
Ключ для болгарки,119,,0.15,Просто в пакет,РУСбренд,M,100,1
Набор перьев по дереву,124,,0.28,Просто в пакет,РУСбренд,M,120,1
Респиратор,126,,0.13,,РУСбренд,L,Нет данных,1
Краги желтые,125,,0.2,Просто в пакет,РУСбренд,L,120,1
"Колодка для удлинителя каучуковая 3 розетки / 16А / уличная, силовая с заземлением",208,,0.2,"Без пакетов, только наклеить шк на уже существующую упаковку",РУСбренд,L,100,1
"Набор губок шлифовальных 5 шт, зернистость 60,120(2шт), 150, 220",127,,0.1,"Внимание, это комплект из 5ти шт каждой зернистости по 1й шт, но Р120 2 шт",РУСбренд,L,56,5
Краги красные,128,,0.2,Просто в пакет,РУСбренд,L,120,1
Колодка 4 гнезда,129,,0.214,"Без пакетов, только наклеить шк на уже существующую упаковку",РУСбренд,L,84,1
Замок 45 мм короткий,130,,0.168,Просто в пакет,РУСбренд,S,50,1
Замок 55 мм короткий,131,,0.3,Просто в пакет,РУСбренд,S,45,1
Замок 55 мм длинный,132,,0.35,Просто в пакет,РУСбренд,S,45,1
Масса 500Вт,134,,0.3,Просто в пакет,РУСбренд,M,50,1
Редуктор газовый,135,,0.2,Просто в пакет,РУСбренд,M,80,1
"Краги сварщика, летние, кожанные / перчатки для сварки, спилковые",225,,0.2,Просто в пакет,РУСбренд,L,120,1
Краги коричневые,136,,0.2,Просто в пакет,РУСбренд,L,120,1
"Замок навесной, уличный 45 мм, всепогодный, удлиненный, для дверей / калитки / ворот",137,,0.2,"Без пакетов, только наклеить шк на уже существующую упаковку",РУСбренд,S,50,1
Сетка образивная Р120,139,,0.04,Шк на упаковку 10 шт,РУСбренд,M,100,1
Сетка образивная Р220ММРМРМО,138,,0.04,Шк на упаковку 10 шт,РУСбренд,M,100,1
Жилет тонкий желтый,140,,0.059,"Если есть индивидуальная упаковка (прозрачный пакет) то только этикетка, если нет то в курьерский пакет",РУСбренд,M,100,1
Жилет тонкий оранжевый,141,,0.05,"Если есть индивидуальная упаковка (прозрачный пакет) то только этикетка, если нет то в курьерский пакет",РУСбренд,M,100,1
Жилет плотный желтый,142,,0.059,Просто в пакет,РУСбренд,M,50,1
Жилет плотный оранжевый,143,,0.059,Просто в пакет,РУСбренд,M,50,1
Сигнальная лента 5 см,144,,0.15,"Без пакетов, только наклеить шк на уже существующую упаковку если порвана упаковка то в пакет 170х240",РУСбренд,M,72,1
"Отбивочный шнур, синий",145,,0.25,Просто в пакет,РУСбренд,L,60,1
Диск по бетону,146,,0.148,Просто в пакет,РУСбренд,S,100,1
Щетка УШМ 65мм желтая 1шт,147,,0.1,Просто в пакет,РУСбренд,L,160,1
Щетка УШМ 65мм черная 1 шт,148,,0.1,Просто в пакет,РУСбренд,L,160,1
Масса для сварки 300А,149,,0.215,Просто в пакет,РУСбренд,M,85,1
Диск лепестковый торцевой P120,150,,0.45,Просто в пакет,РУСбренд,M,40,5
"Отбивочный шнур, красный",151,,0.25,Просто в пакет,РУСбренд,L,60,1
Сетка образивная Р320,152,,0.04,Шк на упаковку 10 шт,РУСбренд,M,100,1
Сигнальная лента 7 см,153,,0.25,"Без пакетов, только наклеить шк на уже существующую упаковку",РУСбренд,L,100,1
Карабин 6мм,154,,0.115,Просто в пакет,РУСбренд,S,180,5
Хомут с барашком,155,,0.05,Просто в пакет,РУСбренд,S,225,2
Шпатель 100м прорезиненный,156,,0.09,Просто в пакет,РУСбренд,S,38,1
Скребок черный,157,,0.2,Просто в пакет,РУСбренд,M,60,1
Терка строительная,158,,0.25,Просто в пакет,РУСбренд,L,50,1
Серпянка 5х90,159,,0.1,"Без пакетов, только наклеить шк на уже существующую упаковку",РУСбренд,M,42,1
Шестигранник 8 предметов,160,,0.015,"Без пакетов, только наклеить шк на уже существующую упаковку",РУСбренд,S,180,1
Каска строительная желтая,161,,0.181,Просто в пакет,РУСбренд,L,20,1
Личинка хром 70,162,,0.2,Просто в пакет,РУСбренд,S,120,1
"Диск по дереву, цепной 125мм",163,,0.25,Просто в пакет,РУСбренд,S,38,1
Коралловый диск оранжевый на ушм 125мм,164,,0.116,Просто в пакет,РУСбренд,S,44,1
Сигнальный карсет желтый,165,,0.1,"Без пакетов, только наклеить шк на уже существующую упаковку",РУСбренд,M,60,1
Сигнальный карсет оранжевый,166,,0.1,"Без пакетов, только наклеить шк на уже существующую упаковку",РУСбренд,M,8,1
"Наждак, рулон 400",167,,0.1,Просто в пакет,РУСбренд,M,100,1
"Наждак, рулон 360",168,,0.1,Просто в пакет,РУСбренд,M,100,1
"Наждак, рулон 150",169,,0.1,Просто в пакет,РУСбренд,M,100,1
"Наждак, рулон 120",170,,0.1,Просто в пакет,РУСбренд,M,100,1
"Наждак, рулон 320",171,,0.1,Просто в пакет,РУСбренд,M,100,1
Наушники строительные желтые,172,,0.1,"Без пакетов, только наклеить шк на уже существующую упаковку",РУСбренд,M,30,1
Краги серые,173,,0.25,Просто в пакет,РУСбренд,L,120,1
Камбез для малярных работ белый,174,,0.3,"Без пакетов, только наклеить шк на уже существующую упаковку",РУСбренд,L,30,1
Мышеловка клеевая 3 шт.,175,,0.15,Просто в пакет,РУСбренд,L,50,3
"Набор шпателей 350мм, 100мм, 40мм и перчатки",176,,0.32,Кладем в курьерский пакет 3 вида шпателей 350мм 100 м и 40 мм,РУСбренд,L,50,4 разных предмета
