doc_type,new_name,old_name,moment,status,reason,new_id,old_id
customerorder,ВА-02640,,2026-06-04 16:27:00.000,UNMAPPED_NEW,no_old_id,36e76489-6019-11f1-0a80-1ef00011a77e,
customerorder,ВА-02639,,2026-06-04 10:27:00.000,UNMAPPED_NEW,no_old_id,65ed2921-5fe7-11f1-0a80-1ef00006a77a,
customerorder,ЗБ-04414,,2026-06-04 10:38:00.000,UNMAPPED_NEW,no_old_id,8e560634-5fe8-11f1-0a80-15f4000761d5,
customerorder,ТУ-00890,,2026-06-04 18:53:00.000,UNMAPPED_NEW,no_old_id,aa312b2a-602d-11f1-0a80-02610024f9b7,
customerorder,АФ-00007,,2026-06-02 18:29:00.000,UNMAPPED_NEW,no_old_id,ccbe94b0-5f19-11f1-0a80-14820010f1d7,
customerorder,ТУ-00889,,2026-06-02 17:44:00.000,UNMAPPED_NEW,no_old_id,e94d0915-5f19-11f1-0a80-0b880010938d,
demand,ВА-18545,,2026-06-02 09:57:00.000,UNMAPPED_NEW,no_old_id,980a2ed9-5fe2-11f1-0a80-1cc3000557f2,
invoiceout,ВА-02640,,2026-06-04 16:28:00.000,UNMAPPED_NEW,no_old_id,37abc31c-6019-11f1-0a80-16c6007b6fdd,
invoiceout,ВА-02639,,2026-06-04 10:31:00.000,UNMAPPED_NEW,no_old_id,6658039c-5fe7-11f1-0a80-16c60050a9f7,
invoiceout,ЗБ-04414,,2026-06-04 10:39:00.000,UNMAPPED_NEW,no_old_id,8e9d1be8-5fe8-11f1-0a80-16c600518975,
invoiceout,ТУ-00890,,2026-06-04 18:54:00.000,UNMAPPED_NEW,no_old_id,aac25f16-602d-11f1-0a80-16c6008b736c,
invoiceout,АФ-00007,,2026-06-02 18:32:00.000,UNMAPPED_NEW,no_old_id,cf05d929-5f19-11f1-0a80-183b001018c0,
invoiceout,ТУ-00889,,2026-06-02 17:45:00.000,UNMAPPED_NEW,no_old_id,eb6e4246-5f19-11f1-0a80-14820010fadd,
supply,00164,,2026-06-04 09:56:00.000,UNMAPPED_NEW,no_old_id,9150f007-5fe2-11f1-0a80-0e5000057147,
paymentin,01703,,2026-06-04 17:40:00.000,UNMAPPED_NEW,no_old_id,6c0edb4c-6023-11f1-0a80-1ef000136eff,
purchaseorder,00148,,2026-06-02 09:56:00.000,UNMAPPED_NEW,no_old_id,8bc43272-5fe2-11f1-0a80-1f2b0005f726,
factureout,ПЕ-26994,,2026-06-02 16:00:00.000,UNMAPPED_NEW,no_old_id,6419a6f9-5f1a-11f1-0a80-1a4000110fa7,
factureout,ВА-18528,,2026-06-02 16:09:00.000,UNMAPPED_NEW,no_old_id,64cd1b8c-5f1a-11f1-0a80-191700107ea6,
factureout,ВА-18529,,2026-06-02 16:13:00.000,UNMAPPED_NEW,no_old_id,656e3f52-5f1a-11f1-0a80-006900105363,
factureout,ПЕ-26995,,2026-06-02 16:22:00.000,UNMAPPED_NEW,no_old_id,660e68ff-5f1a-11f1-0a80-1b990011454f,
factureout,ВА-18530,,2026-06-02 16:29:00.000,UNMAPPED_NEW,no_old_id,66b5a068-5f1a-11f1-0a80-1b9900114574,
factureout,ВА-18531,,2026-06-02 16:32:00.000,UNMAPPED_NEW,no_old_id,67881964-5f1a-11f1-0a80-0b880010b9af,
factureout,ВА-18532,,2026-06-02 16:50:00.000,UNMAPPED_NEW,no_old_id,68feb6ca-5f1a-11f1-0a80-0cbd00108115,
