# still empty after fill from OLD
# type	name	moment	reason
customerorder	ПЕ-00433	2026-06-02 17:16	нет в OLD
demand	00003	2026-01-13 16:48	сотрудник не смаплен
demand	00004	2026-01-13 10:03	сотрудник не смаплен
demand	00007	2026-01-14 16:02	сотрудник не смаплен
demand	00008	2026-01-14 17:03	сотрудник не смаплен
demand	00009	2026-01-14 17:35	сотрудник не смаплен
demand	00014	2026-01-15 15:40	сотрудник не смаплен
demand	00015	2026-01-15 15:53	сотрудник не смаплен
demand	00017	2026-01-16 16:19	сотрудник не смаплен
demand	00018	2026-01-16 10:45	сотрудник не смаплен
demand	00020	2026-01-19 16:48	сотрудник не смаплен
demand	00022	2026-01-20 13:53	сотрудник не смаплен
demand	00026	2026-01-20 12:21	сотрудник не смаплен
demand	00029	2026-01-21 14:46	сотрудник не смаплен
demand	00030	2026-01-22 09:48	сотрудник не смаплен
demand	00031	2026-01-22 10:15	сотрудник не смаплен
demand	00032	2026-01-23 15:03	сотрудник не смаплен
demand	00033	2026-01-26 17:09	сотрудник не смаплен
demand	00035	2026-01-26 17:11	сотрудник не смаплен
demand	00037	2026-01-26 17:13	сотрудник не смаплен
demand	00038	2026-01-26 10:25	сотрудник не смаплен
demand	00041	2026-01-26 10:39	сотрудник не смаплен
demand	00043	2026-01-26 10:41	сотрудник не смаплен
demand	00046	2026-01-26 12:33	сотрудник не смаплен
demand	00047	2026-01-26 12:34	сотрудник не смаплен
demand	00050	2026-01-26 13:45	сотрудник не смаплен
demand	00054	2026-01-27 17:28	сотрудник не смаплен
demand	00056	2026-01-27 12:53	сотрудник не смаплен
demand	00057	2026-01-28 16:21	сотрудник не смаплен
demand	00061	2026-02-02 17:43	сотрудник не смаплен
demand	00062	2026-02-03 15:31	сотрудник не смаплен
demand	00063	2026-02-03 13:39	сотрудник не смаплен
demand	00068	2026-02-05 16:48	сотрудник не смаплен
demand	00069	2026-02-09 13:31	сотрудник не смаплен
demand	00070	2026-02-09 13:33	сотрудник не смаплен
demand	00071	2026-02-10 16:15	сотрудник не смаплен
demand	00072	2026-02-10 17:37	сотрудник не смаплен
demand	00074	2026-02-10 17:57	сотрудник не смаплен
demand	00075	2026-02-11 18:41	сотрудник не смаплен
demand	00076	2026-02-11 18:42	сотрудник не смаплен
demand	00077	2026-02-11 11:41	сотрудник не смаплен
demand	00078	2026-02-12 15:38	сотрудник не смаплен
demand	00079	2026-02-12 15:39	сотрудник не смаплен
demand	00080	2026-02-12 15:45	сотрудник не смаплен
demand	00084	2026-02-12 15:56	сотрудник не смаплен
demand	00086	2026-02-12 15:57	сотрудник не смаплен
demand	00091	2026-02-13 14:32	сотрудник не смаплен
demand	00096	2026-02-17 17:42	сотрудник не смаплен
demand	00100	2026-02-17 18:03	сотрудник не смаплен
demand	00101	2026-02-18 14:55	сотрудник не смаплен
demand	00102	2026-02-18 15:29	сотрудник не смаплен
demand	00103	2026-02-18 09:59	сотрудник не смаплен
demand	00104	2026-02-18 11:39	сотрудник не смаплен
demand	ВА-18272	2026-04-14 17:08	нет в OLD
demand	ТУ-00602	2026-03-13 14:11	сотрудник не смаплен
demand	ТУ-00603	2026-03-13 14:54	сотрудник не смаплен
invoiceout	COL-13bb5d3d	2026-04-30 13:18	нет в OLD
invoiceout	COL-3fed60ca	2026-04-30 16:16	нет в OLD
invoiceout	COL-6315b9c6	2026-04-28 17:00	нет в OLD
invoiceout	COL-79a94caf	2026-04-30 11:46	нет в OLD
invoiceout	COL-a16fae21	2026-04-30 11:14	нет в OLD
invoiceout	COL-c3b9f806	2026-04-30 13:48	нет в OLD
invoiceout	ПЕ-00423	2026-05-12 16:29	нет в OLD
invoiceout	ПЕ-00426	2026-05-15 17:16	нет в OLD
invoiceout	ПЕ-00433	2026-06-02 12:25	нет в OLD
invoiceout	ПЕ-00435	2026-06-02 17:19	нет в OLD
paymentin	01294	2026-01-28 11:01	нет в OLD
paymentin	01370	2026-01-13 15:44	нет в OLD
paymentin	01373	2026-02-10 16:44	нет в OLD
paymentin	01500	2026-04-01 10:17	нет в OLD
